,단속장소,X,Y,단속건수
95,서울특별시 양천구 신정동 신정중앙로 61,126.8587055,37.52731798,15
96,서울특별시 양천구 신정동 신정중앙로 63,126.858997,37.5271435,20
97,서울특별시 양천구 신정동 신정중앙로 66,126.859066,37.526666,14
98,서울특별시 양천구 신정동 337-16,126.8651986,37.50789003,45
99,서울특별시 양천구 신정동 326,126.86027,37.5120803,106
100,서울특별시 양천구 신정동 325,126.861296,37.5077387,31
101,서울특별시 양천구 신정동 312,126.864023,37.5194099,124
102,서울특별시 양천구 목 동 327,126.874504,37.5360269,1
103,서울특별시 양천구 목동 911,126.884371,37.5351902,35
104,서울특별시 양천구 신월동 630,126.84207,37.5180398,23
105,서울특별시 양천구 신정 1동목동927동,126.855695,37.5151742,13
106,서울특별시 양천구 신정동 328,126.865117,37.5149602,15
107,서울특별시 양천구 신정동 327,126.865117,37.5149602,27
108,서울특별시 양천구 신정 목동2차우성아파트,126.8664324,37.50793513,43
109,서울특별시 양천구 신정동 오목로 177,126.8571171,37.52545227,21
110,서울특별시 양천구 목동 현대월드타워,126.8779576,37.5361722,97
111,서울특별시 양천구 목 동 907-1,126.877525,37.535904,9
112,서울특별시 양천구 신월1동곰달래로42,126.834302,37.5265885,19
113,서울특별시 양천구 신정 1동볏집삼겹살,126.855695,37.5151742,204
114,서울특별시 양천구 신정 목동우성1차아파트,126.8345058,37.50609039,38
115,서울특별시 양천구 신정동 우성아파트,126.8664646,37.50796066,56
116,서울특별시 양천구 신정동 창일교회,126.8510004,37.51292243,18
117,서울특별시 양천구 신정동 래미안 목동아델리체,126.8518658,37.51818367,13
118,서울특별시 양천구 신월동 238-14,126.840004,37.5267947,16
119,서울특별시 양천구 신월7동지양로7길 28-27,126.8304025,37.52180798,14
120,서울특별시 양천구 목1동406-43,126.8741778,37.52563769,26
121,서울특별시 양천구 신정동 327-2,126.866372,37.5156104,36
122,서울특별시 양천구 신월동 팝마트,126.8416981,37.52487529,33
123,서울특별시 양천구 신월동 디아이빌아파트,126.8285687,37.52343383,72
124,서울특별시 양천구 신정동 출입국관리사무소,126.869714,37.5190649,16
125,서울특별시 양천구 목동 우리은행 목동중앙지점,126.879481,37.5363565,27
126,서울특별시 양천구 신월동 신대림빌라,126.835736,37.5280141,53
127,서울특별시 양천구 신월동 현대부동산,126.834418,37.5307603,43
128,서울특별시 양천구 신월동 천성교회,126.838597,37.5286848,153
129,서울특별시 양천구 신월동 빛고을,126.838074,37.5297833,53
130,서울특별시 양천구 신월동 강구PC,126.852259,37.5534171,25
131,서울특별시 양천구 신월동 뿅가곱창,126.838563,37.5286668,13
132,서울특별시 양천구 목극동늘푸른아파트,126.871422,37.5385193,97
133,서울특별시 양천구 신월동 새마음교회,126.835587,37.5340776,22
134,서울특별시 양천구 신월동 짱구PC,126.852189,37.5202334,13
135,서울특별시 양천구 신정동 밀레,126.861915,37.5278317,99
136,서울특별시 양천구 신정동 오구어린이공원,126.86195,37.5273002,112
137,서울특별시 양천구 신월동 코아루아파트,126.829573,37.5317084,49
138,서울특별시 양천구 목목동타운,126.874868,37.5282878,175
139,서울특별시 양천구 신정동 산공원,126.869123,37.5078108,92
140,서울특별시 양천구 신정동 하남수퍼,126.857176,37.5273845,23
141,서울특별시 양천구 신정동 성진금속,126.858407,37.5283951,18
142,서울특별시 양천구 신월동 캐슬프라자,126.84707,37.5234074,26
143,서울특별시 양천구 목4동보미리즌빌,126.866318,37.5391353,49
144,서울특별시 양천구 목 동 912-3,126.883741,37.532829,38
145,서울특별시 양천구 목5동목동615동,126.879867,37.5360326,123
146,서울특별시 양천구 신정동 신서초등학교건너,126.862313,37.5205431,13
147,서울특별시 양천구 신정 목동힐스테이트아파트,126.854849,37.5198043,235
148,서울특별시 양천구 신월동 지양마을,126.826655,37.5218563,29
149,서울특별시 양천구 목목동아파트510동,126.882892,37.5332245,24
150,서울특별시 양천구 목목동아파트514동,126.882892,37.5332245,21
151,서울특별시 양천구 목1동목동동로210,126.864427,37.5273661,33
152,서울특별시 양천구 신월동 신대림주택,126.835736,37.5280141,70
153,서울특별시 양천구 신월동 사골부대찌개,126.837508,37.5297375,14
154,서울특별시 양천구 목동 광장빌딩,126.878736,37.5355899,19
155,서울특별시 양천구 신월동 머리쟁이,126.831898,37.5341715,22
156,서울특별시 양천구 신월동 보람더하임아파트,126.837791,37.5247193,16
157,서울특별시 양천구 신월동 해태아파트,126.843205,37.5215192,67
158,서울특별시 양천구 신월동 장수마을동원데자뷰아파트,126.84585,37.5224147,13
159,서울특별시 양천구 신정동 311-5,126.860212,37.5189819,68
160,서울특별시 양천구 신월5동월정로218,126.829701,37.5449802,26
161,서울특별시 양천구 신정동 동원데자뷰아파트,126.84997,37.5267899,1
162,서울특별시 양천구 신정동 지노헤어,126.853703,37.5214427,18
163,서울특별시 양천구 신정동 이차돌,126.863117,37.5264816,47
164,서울특별시 양천구 신정동 동일빌딩,126.861679,37.5267412,41
165,서울특별시 양천구 신정 7동국민은행공영주차장,126.855695,37.5151742,25
166,서울특별시 양천구 신정동 상진아파트,126.858544,37.5276385,16
167,서울특별시 양천구 신정동 영상고등학교,126.860272,37.5232887,32
168,서울특별시 양천구 신정동 양목초등학교,126.861719,37.5234436,110
169,서울특별시 양천구 신정동 남부빌딩,126.861961,37.5214887,30
170,서울특별시 양천구 목2동목동중앙북로16길 78,126.873836,37.5427476,19
171,서울특별시 양천구 목동 405-205,126.871673,37.5242298,69
172,서울특별시 양천구 목동 오목공원,126.873262,37.5279797,34
173,서울특별시 양천구 신월동 서울택시,126.82359,37.5355108,85
174,서울특별시 양천구 신월동 춘향골,126.832508,37.5397946,15
175,서울특별시 양천구 신월동 금융고,126.825747,37.5373881,196
176,서울특별시 양천구 신월동 샤르망,126.838903,37.528487,97
177,서울특별시 양천구 신정 1동중앙로36길 36,126.855695,37.5151742,20
178,서울특별시 양천구 신정 2동목동초교,126.855695,37.5151742,13
179,서울특별시 양천구 신월3동신우공영주차장,126.834302,37.5265885,20
180,서울특별시 양천구 목3동신한이모르젠,126.864467,37.5490081,16
181,서울특별시 양천구 신정동 330-2,126.874011,37.5132402,34
182,서울특별시 양천구 신정동 325 목동신시가지아파트11단지,126.859492,37.5108991,32
183,서울특별시 양천구 신정 7동제일교회,126.855695,37.5151742,16
184,서울특별시 양천구 신정동 신서초등학교,126.862313,37.5205431,24
185,서울특별시 양천구 목목동종합운동장,126.881641,37.5304843,28
186,서울특별시 양천구 신정동 자연애식당,126.838069,37.511421,13
187,서울특별시 양천구 신정동 1121,126.864503,37.5229063,36
188,서울특별시 양천구 신정 목동역1번출구,126.864352,37.5254109,26
189,서울특별시 양천구 목동 세신프라자,126.870592,37.5280038,103
190,서울특별시 양천구 신월동 동원데자뷰,126.845884,37.5223426,31
191,서울특별시 양천구 신월동 장수마을,126.844495,37.5215209,34
192,서울특별시 양천구 신정동 1231,126.852846,37.519973,19
193,서울특별시 양천구 신정동 310-9,126.857095,37.5164824,173
194,서울특별시 양천구 목동 406-14,126.871965,37.5252753,22
195,서울특별시 양천구 목동 406-64,126.871964,37.5257799,23
196,서울특별시 양천구 목동 406-106,126.872055,37.5255547,24
197,서울특별시 양천구 목동 404-151,126.875024,37.5227018,22
198,서울특별시 양천구 신정4 목동예치과,126.855695,37.5151742,19
199,서울특별시 양천구 신정 목동휘버스,126.864184,37.5244196,33
200,서울특별시 양천구 신월동 신월중,126.828963,37.5410238,51
201,서울특별시 양천구 신월동 신월중학교,126.828963,37.5410238,40
202,서울특별시 양천구 신월동 신화중,126.82961,37.540331,26
203,서울특별시 양천구 신월동 강서경찰서,126.830222,37.5397642,98
204,서울특별시 양천구 신정동 큐브,126.862412,37.5281026,13
205,서울특별시 양천구 신정동 델리레스토,126.863682,37.5264192,34
206,서울특별시 양천구 신월동 귀족,126.857097,37.5270511,57
207,서울특별시 양천구 목동 현대41타워,126.87575,37.5281626,26
208,서울특별시 양천구 목동 우리은행,126.874868,37.5282878,272
209,서울특별시 양천구 목동 진도아파트,126.868562,37.5244246,54
