,단속일시,단속장소,X,Y
212,2020.1.9 16:11,서울특별시 양천구 신월동 사골부대찌개,126.837508,37.5297375
213,2020.1.9 16:20,서울특별시 양천구 목동 광장빌딩,126.878736,37.5355899
214,2020.1.9 16:24,서울특별시 양천구 신월동 머리쟁이,126.831898,37.5341715
215,2020.1.9 16:53,서울특별시 양천구 신월동 보람더하임아파트,126.837791,37.5247193
217,2020.1.9 17:11,서울특별시 양천구 신월동 해태아파트,126.843205,37.5215192
225,2020.1.10 10:20,서울특별시 양천구 신정동 동원데자뷰아파트,126.84997,37.5267899
226,2020.1.10 10:32,서울특별시 양천구 신정동 지노헤어,126.853703,37.5214427
227,2020.1.10 10:32,서울특별시 양천구 신정동 이차돌,126.863117,37.5264816
228,2020.1.10 10:41,서울특별시 양천구 신정동 동일빌딩,126.861679,37.5267412
234,2020.1.10 11:03,서울특별시 양천구 신정동 남부빌딩,126.861961,37.5214887
235,2020.1.10 11:16,서울특별시 양천구 목2동목동중앙북로16길 78,126.873836,37.5427476
238,2020.1.10 15:33,서울특별시 양천구 목동 오목공원,126.873262,37.5279797
239,2020.1.10 15:36,서울특별시 양천구 목동 KT건너,우편번호없음,x좌표없음
240,2020.1.10 15:59,서울특별시 양천구 신월동 서울택시,126.82359,37.5355108
241,2020.1.10 16:00,서울특별시 양천구 신월동 춘향골,126.832508,37.5397946
242,2020.1.10 16:01,서울특별시 양천구 신월동 금융고,126.825747,37.5373881
246,2020.1.10 16:30,서울특별시 양천구 신월동 샤르망,126.838903,37.528487
251,2020.1.11 16:00,서울특별시 양천구 목3동신한이모르젠,126.864467,37.5490081
257,2020.1.13 10:06,서울특별시 양천구 신정동 신서초등학교,126.862313,37.5205431
260,2020.1.13 10:54,서울특별시 양천구 목목동종합운동장,126.881641,37.5304843
261,2020.1.13 10:59,서울특별시 양천구 신정동 자연애식당,126.838069,37.511421
263,2020.1.13 15:41,서울특별시 양천구 신정동 파리바게뜨,우편번호없음,x좌표없음
264,2020.1.13 16:18,서울특별시 양천구 신정 목동역1번출구,126.864352,37.5254109
